username,playtime,content,recommended,owned_products,found_helpful
Pruciak,0.8 hrs on record,"Posted: August 25
Product refunded

Game is mediocre. Graphics are meh (explosions and fire look awful). Gameplay is average. You would expect way more from a quadruple A product. There are better games for the same amount of money on the market to invest your free time in.",推荐,,5 people found this review helpful 0
Solon,1.2 hrs on record,"Posted: August 26
Ubisoft mantém sua agenda woke lacradora em seus jogos. Assim como ocorreu em Assassin's Creed Shadows. É deplorável os erros da dublagem brasileira onde a palavra ""Capitão"" foi erroneamente traduzida como ""Capitani"". Como se não fosse o bastante, o jogo é mais do mesmo de Assassin's Creed IV: Black Flag, com as mesmas mecânicas de combate naval, superficial e sem profundidade. Sugiro que não desperdice seu precioso dinheiro com essa porcaria. Fui muito burro em acreditar que esse jogo teria algum valor.",推荐,,"25 people found this review helpful
12 people found this review funny 4"
War_pig1990,6.9 hrs on record,"Posted: August 26
Runs about as well as Cyberpunk did when it first came out, the sound quality is absolute garbage as soon as I logged onto a server. I tried to give this game a chance and play a little despite the issues I was having, it just got boring and quick. Turns out I gave it too long of a chance and couldn't get a refund.
If you feel like you just need to waste some money and want to sit there wishing it was Black Flag the whole time.... then this is the game for you. Otherwise don't bother with it.",推荐,,8 people found this review helpful 1
멜론_판다,0.6 hrs on record,"Posted: August 24
Product refunded

믿고 거르는 유비라지만 항해 게임을 좋아하기도 하고 어쌔신 크리드때 느낌이겠거니 해서 구매하고 해본결과 10분도 안하고 환불하게됨
1. UI가 무슨 20년대 초 모바일게임 UI임
2. 대포의 타격감이 너무 별로임
-차라리 어쌔신 크리드 그대로 가져다놨었더라면 하게될정도로 엉망임
3. 캐릭터 커스터마이징이 너무 제한적임
4. 그래픽에 40기가 때려박음
5. 할인하니까 사봤지 이런걸 7만원 주고 사고싶지않음

요약 : 비교하기 미안할정도지만 차라리 3~40기가 더 투자해서 월드오브워쉽 하러가는게 좋을거같음",推荐,,6 people found this review helpful 0
Lord Khan,0.5 hrs on record,"Posted: August 26
Game crashes after the intro, can't even play.",推荐,,"7 people found this review helpful
2 people found this review funny 0"
yuri-1776,6.3 hrs on record,"Posted: August 25
可以说是答辩中的答辩，手感和画质甚至还对标的黑旗，而且手感还不如黑旗，没有肉搏，帧数4060开dlss只能跑70帧，而且画质比起黑旗也并没有特别大的提升，可以说不是育碧铁粉千万不要入，还不如cod新作来的实惠",推荐,118 products in account,8 people found this review helpful 0
Florenz,0.3 hrs on record,"Posted: August 23
Can't skip cutscenes. I want to play, not watching a movie. Refunded.",推荐,81 products in account,18 people found this review helpful 2
Gusnake BOPE,16.5 hrs on record,"Posted: August 26
Muito bugado, vc esta jogado derepente bate em coisas que não existem perde carga de missão comigo ja aconteceu 3x e ridiculo imppossivel jogar",推荐,124 products in account,4 people found this review helpful 0
Igor_22UA,0.7 hrs on record,"Posted: August 25
купил. понял что шлак редкосный...запросил возврат. не стоит она тех денег, что за ее просят!",推荐,366 products in account,"12 people found this review helpful
1 person found this review funny 0"
xxxJiMxxx,1.8 hrs on record,"Posted: August 24
Пока поиграть не удалось, невозможно подключиться к игровым серверам!",推荐,313 products in account,"20 people found this review helpful
2 people found this review funny 0"
vongsay,2.7 hrs on record,"Posted: August 26
took me 2 hours to really figure out that its just ship shoot ship. embark on land turn in quest go back out find ship shoot ship rinse repeat. wish i would have played less than 2 hours so i could return it but i only paid 30$ wouldnt pay full price at all. sea of thieves has more in depth play than this. 2.5/5 probably wont play again",推荐,,"10 people found this review helpful
2 people found this review funny 0"
Fedral4,2.0 hrs on record,"Posted: August 24
Product refunded

bo io non ci ho capito nulla.
Tutorial poco chiaro ,si viene lasciati a far cose di intuito proprio, che ne so io dove recuperare specifici materiali per creare la nave successiva se non me lo indichi se fa parte della storia principale neanche a dire una quest secondaria .
Fosse segnata almeno la zona dove poter trovarli no nulla un caos totale per me.
Ma forse ai gamer più pazienti piacerà , ma io dico no peccato idea buona ma lascia veramente la non voglia di giocarci.",推荐,,6 people found this review helpful 0
nvkote,0.8 hrs on record,"Posted: August 23
Включил.. 5 минут обучали стрелять с пушек.. после появилось окно подбора игроков...
минут 5 искало и выкинуло в главное меню...
открыл настройки, подкрутил под себя.. в них встретил Тест производительности.. нажал
опять вылез экран подбора игроков ...ЧТО???
посмотрел на это минуты 2 и вышел нафиг
хотел поиграть, а посмотрел меню - не понравилось.",推荐,146 products in account,"22 people found this review helpful
3 people found this review funny 0"
Миkkoвич,20.5 hrs on record,"Posted: August 26
Что ж.
Если вы любите пиратов, гринд ради гринда, аркадное управление и просто весёлое время провождение то да, она того стоит.
Нет, тут нет особого сюжета, бывают баги, но не вылеты.
Да тут есть батл пасс, но вы можете не покупать его, а открывать за монеты, которые дают за выполнение квестов.
Тут нет боев на суше, вы просто бегаете лутаете, ищите записки, баффаете себя или всю команду на выносливость и всё.
Можно сказать, что это MMORPG на корабликах. Ну дааа тут есть три класса корабля ""Танк"" ""Хилл"" и конечно же ""ДД""
Есть около десятка кораблей со своими особыми способностями.
Нет она не похожа на ""Море Воров"". ПвП хотите включайте, хотите нет, дело ваше.
Есть мировые боссы, события.
Прокачка не особо сложная, вас за руку водят по сути. Хотите другой кораблик ищите чертеж, собираете компоненты(Которые показана где и как добыть, если поставить отслеживание)
Так же и с пушками, обвесами и т.д
Через батл пасс можно получить в начале не плохие пушки, которые апнут ваш уровень кораблика. А точнее боевая сила, начанитается с 1 и т.д у меня пока 12, сколько максимально, не знаю.
Есть форпосты, которые можно грабить, рубить лес, добывать ископаемые, собирать конобис(Но да, всё это делается с кораблика, у вас есть инструменты, которые тоже нужно прокачивать)
Так же есть уровень самого игрока и звания. За прокачку на почту присылают сундуки, из которых так же падают плюшки в ввиде оружия или компонентов, обвесов.
Закончив скажу, что мне зашло. Каждому нравится своё.
Удачи в море, капитан)",推荐,,5 people found this review helpful 0
SoloAbyss,2.4 hrs on record,"Posted: August 23
Just one word for this game:

...disappointing...",推荐,,58 people found this review helpful 0
logan225,0.8 hrs on record,"Posted: August 26
really bad game. the movement is not great and the ship combat is really bad. if your looking for a black flag type then look elsewhere.",推荐,,10 people found this review helpful 0
wisien91,19.3 hrs on record,"Posted: August 26
Gra nie warta pełnej ceny, ale na promce polecam. Narazie mam 16h i wciągneło mnie niesamowicie. Ja bardziej szukałem coś w stylu SeaDogs, a nie Black Flag i gra się fajnie. Fabuła dno",推荐,,3 people found this review helpful 1
Purple－Ink ↫۩۞۩↬,2.1 hrs on record,"Posted: August 23
Product refunded

游戏我是进了 ~ 你特么卡任务BUG 我是服的 ~ 主线喊我弄新船 我弄了 ~ 让我安装 3个大炮 无论我装了多少次 都特么不成功 直接主线卡死 你是真牛逼 !!!",推荐,311 products in account,"12 people found this review helpful
1 person found this review funny 0"
nucleus42,1.6 hrs on record,"Posted: August 24
Es ist einfach unfassbar langweilig...",推荐,,"14 people found this review helpful
7 people found this review funny 0"
Senna,1.0 hrs on record,"Posted: August 24
Buggy, unstable piece of garbage.",推荐,229 products in account,27 people found this review helpful 0
BlackD,3.0 hrs on record,"Posted: August 26
게임을 플레이 할수가 없을정도로 팅김
엔피시 말걸면 팅김
열발자국 뜀걸음 하면 팅김
배에 탑승해서 항해 하려고 하면 팅김
돈은 받겠으나 게임을 못하게 하는 유비소프트의 창조경제 개념에
이번 개기로 유비소프트 게임은 거르기로 했음",推荐,,3 people found this review helpful 0
๋,16.6 hrs on record,"Posted: August 23
O rei despertou a rainha do mar
Num barco a acorrentou
Por onde andares, são teus os mares
Quem ouviu, remou

Yo ho, todos, nossas cores erguer
Ladrões e mendigos jamais irão morrer
Yo ho, todos juntos, nossas cores erguer
Ladrões e mendigos jamais irão morrer

Uns morrerão outros vivos estão
Outros navegam no mar
Com as chaves da prisão e o diabo de prontidão
Remando sem cessar

Da fossa profunda sobe o sino a tocar
Com um som sepulcral
Vem convocar pra retornar
Ao destino final

Yo ho, todos juntos, nossas cores erguer
Ladrões e mendigos não aceitam morrer",推荐,,"26 people found this review helpful
12 people found this review funny 3"
Sevintus,37.3 hrs on record,"Posted: August 25
Okay so... If you know what you're getting into here, you'll probably have a fun enough time with it.

First, this is no ""AAAA"" game. The map isn't as big as you'd probably expect, and the overall scope of the game seems rather narrow for such a title. Really... it kinda feels like a decently funded indie game... But it's no No Man's Sky either.

The whole game, is pirating naval combat. That's like, 99% of what you're going to be doing. Ever played Black Flag? That funny Assassin's Creed game? This game is built on the entire idea of that game's ship combat. But that's really it. It's just ship combat, and occasionally walking around some beach looking for buried treasure.

You sail around, fight ships from multiple factions, maybe even a sea monster or three, and loot their crap to make more and better crap for yourself, and turn in contracts.

This game, is going to feel a bit grindy, and it will feel unfair if you don't have the better stuff crafted to increase the level of your ship. That's how this game works. You can't just go in and sink an enemy ship multiple levels higher than you, aka, better equipped.

There is hunting in the game that's a bit unique from the rest of the stuff, where you get in your little hunting boat and throw spears at animals until they die. You COULD just blast them with cannons on a bigger ship, but then you'd ruin whatever they drop pretty much.

The game is no Sea of Thieves or anything like that, BUT, there is mechanics in the game for a holy trinity role based system. You have ships that act as tanks, with weapons that can provoke and keep the attention of enemy ships, DPS specializing ships, and even healer type ships, that you can equp with weapons that can be shot at allies to repair their ships.

It's an interesting concept... And so far I really like it.",推荐,259 products in account,7 people found this review helpful 0
Pedro,15.0 hrs on record,"Posted: August 23
Por enquanto to gostando.",推荐,,"12 people found this review helpful
7 people found this review funny 0"
Mauler ~TGD~,0.8 hrs on record,"Posted: August 24
Product refunded

REFUNDED. Had ubisoft+ when the game originally released in feb 2024. here it is august and a little over 40% of its world map is still under fog of war that you cant access. there still are no large sailing ships to work towards. then it becomes either a grind fest of raiding ports, a grind fest of being a businessman controlling ports, or a pvp fest because youre bored out of your skull. the only thing theyve done is put up grind fest after grind fest seasonal activity so you can race your grind to gather that seasons currency to get cosmetics and, IF YOU SPEND MORE MONEY to buy their smugglers pass premium, you MIGHT get one or two things off the premium like a cannon but still mostly just cosmetics. all in all it took me maybe 20 hours of grinding to reach the point where i was in the black market and thats where it becomes a real grindfest. no boarding and swashbuckling your way to victory, no leaping the gunwales and charging into the port on foot to slash and shoot your way to the plunder the town. not a terrible game but if this is what they consider a quad A game i dont think the company will survive. their biggest and best game to date still is Farcry 5.",推荐,,"13 people found this review helpful
1 person found this review funny 2"
Randomgamer,2.2 hrs on record,"Posted: August 23
Product refunded

Stop releasing games on Steam 6 months or a year after the official release. I only purchase games on Steam, and if a game isn’t available on Steam from day one, it’s very likely that by the time it is, I’ll have lost interest and won’t buy it—just as has happened with many games already, and as will happen with future titles as well.

In this case, I bought it, and even though I think it’s an interesting game, there are some “multiplayer” mechanics that made me request a refund.

This is a message not just to Ubisoft but to all game developers: release your games on all stores from day one, so that players can choose where to buy their favorite games.",推荐,"1,188 products in account","90 people found this review helpful
2 people found this review funny 5"
Fridericus Rex,32.7 hrs on record,"Posted: August 26
Tja, eigentlich ist schon viel über Skull und Bones gesagt und geschrieben worden, da wollte ich mir mein eigenes Bild machen und mit dem Preis von 24 Euro kann man nicht ganz viel verkehrt machen.
Nach nun 22 Stunden erlaube ich mir ein erstes Fazit.
Das Spiel ist, unter der Prämisse man kauft es für 24 Euro, am besten noch günstiger, ganz unterhaltsam. Ein Shooter halt. Nicht mehr und auch nicht weniger.
Ein paar Bugs gibt es allerdings. Einmal war mein Schiff, ein zweites Mal nur die Mannschaft geisterhaft dargestellt. Ein Neustart war da nötig um den Fehler zu beheben. Ärgerlicher ist aber das ich in den 22 Stunden mindestens dreimal plötzlich auf der Karte versetzt wurde, nach einem Ladescreen taucht man an ganz anderen ecken der Spielwelt wieder auf.
Es ist halt ein UAAAAAA Spiel :).
Ich muss leider eine Empfehlung geben weil es nicht ganz schlecht ist und Steam ein Unentschieden nicht vorsieht.",推荐,,"5 people found this review helpful
2 people found this review funny 0"
Lorien,17.3 hrs on record,"Posted: August 24
For 20 Bucks it is a ok Game, but certainly not for the original price it had.",推荐,184 products in account,6 people found this review helpful 0
JOJO,21.0 hrs on record,"Posted: August 23
一直在匹配 进不去游戏 这怎么玩啊",推荐,,"10 people found this review helpful
1 person found this review funny 0"
Zarlorg,11.9 hrs on record,"Posted: August 23
Пока проходил пролог , получил 3 краша . Отличный старт )) Ждём патчи . Но из-за крашей пока не советую .",推荐,651 products in account,"22 people found this review helpful
2 people found this review funny 1"
Huey,0.8 hrs on record,"Posted: August 23
Can't even get past the matchmaking screen",推荐,,36 people found this review helpful 0
Лебігович,6.7 hrs on record,"Posted: August 23
♥♥♥♥♥♥♥♥♥♥",推荐,,14 people found this review helpful 0
Arbalest,22.8 hrs on record,"Posted: August 26
I bought this game when it was on sale for 60% off like a lot of people recently. For $25 this is a good game that is fun and engaging. You want to play without spending money? Fine, there's plenty of earnable currency (pieces of eight) that you can use to buy upgrades for your ship and cosmetics.
The live service is basically like the Diablo 4 style progression passes, which I don't have a problem with. You want to get the stuff? Spend the money and put the time in to unlock the items. Otherwise your ship will behave just like any other, you just won't have a fancy theme on your ship.
I put in nearly 20 hours at the time of this review, I think there's lots of content to keep me entertained. Between this and Helldivers, and Diablo 4 I'm fairly entertained.

The TL;DR: Look, go into it not expecting another amazing Black Flag. It's just pirate ships fighting each other, but it's still fun. Did the game match the hype? No, but honestly what games really DO match the hype? Very few.
Relax, sit back, have some rum and enjoy blasting Frenchmen with your cannons. You'll enjoy life more that way.",推荐,412 products in account,"15 people found this review helpful
1 person found this review funny 1"
kpt. Pokuston,1.2 hrs on record,"Posted: August 24
Skull and Bones

Nevím, proč se na Skull and Bones snáší tolik kritiky. Hra nabízí odlišný styl než třeba Sea of Thieves a svým zaměřením mi připomíná spíše World of Warships, i když je o něco komplexnější. Máte zde více možností, co se týče lodí a zbraní, což přidává na hloubce a variabilitě.

Doporučuji, abyste si udělali vlastní názor místo toho, abyste hru hned odsoudili na základě názorů v médiích. A pokud se vám hra nebude líbit, vždy je tu možnost vrácení peněz přes Steam, pokud nebudete během prvních dvou hodin spokojeni. Za zkoušku tedy nic nedáte.",推荐,,"8 people found this review helpful
2 people found this review funny 2"
J J,27.6 hrs on record,"Posted: August 24
제발 게임좀 하자...
자잘한 버그가 심각한 수준.
(상점, 창고에서 아이템 상호작용 안됨/갑자기 선상반란/설명글 안사라지고 계속 있음...등등등 여러가지 문제가 많습니다.)",推荐,,4 people found this review helpful 0
pavel99,0.6 hrs on record,"Posted: August 26
Product refunded

error",推荐,,6 people found this review helpful 0
鸦走道人,5.2 hrs on record,"Posted: August 26
《碧海黑帆》：你看我这大炮能够上你船走一走？
Ubi这该死的服务器啊！本作是育碧推出的以大航海海战为核心玩法的游戏《碧海黑帆》，整体来说战斗爽感还是很不错的，我要成为海贼王！
欢迎关注 网易UU鉴赏家培养计划
关注UU加速器VX公众号，回复“steam”，获得专属玩家群邀请。

一艘船掀起大航海OL时代！
作为经典的“罐头大厂”育碧来说，虽然之前的游戏逃不出罐头的范围但是基础的质量都是有保障的，所以当我第一次听到这款游戏的时候以为类似于《刺客信条：黑旗》的衍生作品，但是没想到这一次居然野心大到将其做成了一款网游！之前也是育碧平台独占，知道S3赛季了才开始登录到了Steam平台，当然也是第一时间进行了游玩，整体上的质量只能够说还是那句话“育碧的游戏不管怎么做基础的质量都在那里摆着的”。

在游戏之中但从CG的质量来说就能够感受到一种来自于大厂的技术力表现，还是和之前刺客信条三部曲的味道一样。而我们也会在开场的一段海战之中学会基础的船只海战狗斗操作，大炮的射击手感说实话还挺不错的，并且将船只大炮攻击通过不同的方向进行了划分，只需要我们右键瞄准的时候转动到一定角度就会自动的切换成对应方向的大炮（瞄准的时候那个蓝色的虚线倒是挺明显的，冷却时间也会在右下角对应方位的标志显示出来），硬核程度倒是没有我想象的那么高。

而作为经典的“罐头厂商”来说，任务还是十分重要滴，玩家们可以和港口的各种NPC进行对话并且接取对应的任务，这些任务能够给我们提供一个指引，一定的声望和奖励等等，前期还是秉持着“蚊子虽小但是也是肉”的道理，该做的任务都去做一下，顺便到各个海域之中跑跑地图，打打皇家海军劫掠一点物资来熟悉操作。

而作为一个海盗来说，优秀和好用的船只就是十分重要的一个环节了。玩家们可以通过各种方法去获得各种诸如武器，防御等方面来进行我们的船只DIY，可以给我们前方，左右两边安装对应的大炮，不同的射程，不同的装填速度以及不同的威力等等，真正的强者都是自己造出心中的那一只船的！

这一次登录Steam还是能够在港口看到不少的新手船只在，对于这种网游来说源源不断的萌新入坑才是游戏持续运营的核心，对于不打PVP只打PVE的我来说这款游戏给我的体验还是十分不错的，大海，船战，掠夺，罐头，各种内容其实还是挺不错的，有兴趣的玩家还是可以购入进行体验一下的，不过赛季制的话得看看后续更新质量如何了。",推荐,338 products in account,"7 people found this review helpful
1 person found this review funny 0"
Canniibowl,36.8 hrs on record,"Posted: August 25
Good little pirate game. Not bad at all. Not the best. Maybe in future game get better.",推荐,252 products in account,8 people found this review helpful 0
chumza,0.6 hrs on record,"Posted: August 26
Product refunded

toss this one right next to starfield in the dumpster and set that ♥♥♥♥ ablaze.",推荐,,"15 people found this review helpful
10 people found this review funny 1"
Ánem,10.2 hrs on record,"Posted: August 26
Tengo varias reseñas pendientes pero veo de justicia a hacer una reseña a este juego.

Partiendo de que lo de AAAA pues no. En general bastante pulido y algún error puntual aunque los tiempos de carga no se si por la conexión o el juego, un poco pesados. La historia no es su fuerte y en general lo que podáis leer por ahí.

Pero la jugabilidad y el apartado técnico, geniales. Es súper divertido navegar y piratear. La profundidad habrá que ver pero de momento tiene bastante contenido y es bastante amable con el jugador casual.

En Deck se ve genial a 40 FPS y actualmente por el precio que tiene (está rebajado a 24 euros) es una buena oportunidad para echarse a la MAR.

Muy buen juego si te gusta la temática y juego bueno si no es así (al precio que está ahora mismo, si no, mejor esperar oferta).",推荐,,"2 people found this review helpful
1 person found this review funny 0"
Q-Dancer,19.1 hrs on record,"Posted: August 26
Je n'ai pas passé plus d'une heure sur Sea of Thieves donc impossible de comparer. Concernant Skull & Bones, je m'amuse bien. Après un peu plus de dix heures passées dessus, le contenu semble infini donc de quoi s'occuper un bon moment. Et surtout, il semble tout à fait jouable en solo, ce qui est un gros plus pour moi. Bref, pour 24 €, absolument aucun regret & du plaisir en perspective.

Une simple petite remarque pour les gens qui commentent en ayant joué même pas une demi-heure, ne soyez pas de mauvaise foi... Laissez un peu le temps au jeu de se faire apprécier. On n'a pas la moindre idée de tout ce qui est possible de faire en l'ayant à peine démarré.",推荐,125 products in account,3 people found this review helpful 0
Soling,73.0 hrs on record,"Posted: August 26
Обзоры: Смешанные. Это честно.

1. Это не экшн-РПГ, это симулятор морского курьера, с редкими битвами.
2. По состоянию на 26 августа. Игра полна багов и крашей. Они не сильно влияют на игровой процесс но качество жизни, сильно портят. Для проекта, который позиционирует себя как АААА игра, это недопустимо.
3. Абсолютно наплевательское отношение к наполнению мира, копи-паст встречается практически везде.
4. Квестинг и сюжет - существуют для видимости того, что это есть.

Чего же хорошего есть в этой игре?
- Визуал приятный
- Атмосфера пиратского приключения, чувствуется. Немного смущает, что ты пират-рэмбо в одиночку уничтожающий целые морские армии, но спустим на допущения.
- Если относиться к игре, как к ненапряжной гриндилке в приятной пиратской атмосфере, с покупкой ""по скидке"", то часов 60-80 контента вполне могут доставить вам удовольствие.

Как итог: Это не проект, который надо покупать прямо сейчас. Это не проект, который вас удивит или изменит ваше представление об индустрии. Но поиграть в это можно, это не ""мусор"" это просто ""норм"". Отзыв негативный, только из-за фул прайса и созданного разработчиками ""ожидания АААА проекта"". Это проходняк среднего качества.",推荐,279 products in account,5 people found this review helpful 1
Sir Smoll PP,0.1 hrs on record,"Posted: August 25
Honestly I loved this game in the beta... Took me a while to get around to buying and having the time to play it... but i cant start a new game... and i play betas really recklessly just to try the game out... Now im stuck with that save with no clue what are why i was doing anything any more kinda crazy that i you cant start a fresh save wild idea by the devs honestly refund it is i guess",推荐,401 products in account,16 people found this review helpful 1
RainColl_X_JP,2.8 hrs on record,"Posted: August 26
一応「おすすめする」には投票していますが、個人的には賛否両論くらいです。

海賊船を操作し、海賊としてオープンワールドな大海原で大冒険をし、船舶や港を襲ったり戦って略奪するゲームです。
注意すべきは、『それ以上のものはない』ということです。

もし「アサシンクリードブラックフラッグ」「Sea of Thieves」みたいなゲームを期待しているのであれば、裏切られます。
『陸地での戦闘』『キャプテン自身を操作しての船に乗り込んでの戦闘』みたいなのは一切ありません。
一応陸地で行動するためのプレイヤーの分身するアバターはありますが、歩き回ってNPCとお話する程度で、遺跡の探検だとか原住民との戦いだとかいうのはありません。

物語のメインコンテンツはあくまで「船という名の戦車を使った撃ち合い」で、それ以上でもそれ以下でもありません。
なのである程度遊んだら、単調な展開が続きがちとなります。

ただゲームとして退屈かと言われるとそういうわけではなく、決してクソゲーではありません。ただフルプライスで買うかと言われると…うーん。
私が購入したのが６０％オフのセール中でしたが、それならギリギリ納得できるかなぁ、という感じでした。",推荐,712 products in account,2 people found this review helpful 0
Foxlen,16.0 hrs on record,"Posted: August 25
fun, but has severe freezing and crashing issues, freezes the entire computer at random",推荐,,"11 people found this review helpful
1 person found this review funny 0"
Atheist Messiah,0.7 hrs on record,"Posted: August 26
worst thing i ever played. unskipable cutscenes and intros with terrible acting. please stop this. stop the nonesense drama that no one asks for. we want gameplay not this 1000000 of assets that add nothing",推荐,,"12 people found this review helpful
3 people found this review funny 0"
tomcrane80,11.5 hrs on record,"Posted: August 25
I am having fun blowing up ships. I can see where this might get boring after awhile doing the same things over and over, but for now I am having a blast with it.",推荐,,5 people found this review helpful 0
DEVIZ®,1.1 hrs on record,"Posted: August 25
This game is ♥♥♥♥. Even the main menu does not want to start. The server can't find a specific architecture for my gameplay. Hahaha I haven't seen worse error handling. 21st century and the game hits a bug when first launched, ubisoft you can see that France has long since fallen. Nugers are now doing these games or what, that it's not about it?",推荐,54 products in account,5 people found this review helpful 0
SpeakFromYourSquanch,10.2 hrs on record,"Posted: August 26
It feels like it has a lot of potential, but I don't feel like any of that potential is close to being realized. This is not at all a ""AAAA Game"". I would rather play AC Odyssey.

In some ways this game is superior to Sea of Thieves, but that isn't a compelling selling point when you consider the ways in which it is extremely inferior to SOT, primarily co-op.

I'm annoyed that older games provide better experiences when this was hyped so hard. My only consolation is that I bought it cheap, and I got at least 10 hours out of it. I wouldn't describe it as especially fun, but I wasn't miserable either. It was just...a little bland.",推荐,553 products in account,8 people found this review helpful 0
BlackWatchQc,30.9 hrs on record,"Posted: August 23
Yes I saw the reviews on youtube people hating on it etc... its on sale decided to make my own opinion....
Game is fun!!!
Its on the arcade side of things but I like it.
I just met a random guy in a fight and then we played 5hours straight together pillaging towns and sinking boats meeting other people trading with them ! The community is great and helpful.
Graphics are beautiful, game runs flawlessly on ultra high settings .
The immersion, sea chants and the ship sounds when in a storm it is great !
Going to the gym and right after, gonna play this and have fun for another 10+hours, what else can I ask...
Don't pay full price, don't expect it to be black flag !
Game is NOT perfect, no you cannot fight on land but the crafting/grinding exploring and ship customization and the battles sure make up for it..
Man guess what, this surprised me alot and I want more !!",推荐,,"10 people found this review helpful
7 people found this review funny 5"
TAW | TCael,15.2 hrs on record,"Posted: August 25
the ship v ship combat is nice, reminds me a bit of the good ol' times in blackwake.
Exploration and ressource system is good but could use some tweaking.
graphics are amazing
voice overs are stunning
quite beginner friendly

Ok so you can't walk around on your ship but honestly? As a good captain with a good crew even in blackwake where you could walk around, 95% of the time you're behind your steering wheel (4% is boarding, 1% is emergency repairs ;) )
So I'm not mad about that missing functionality.
The price however is way to high, reduce the base price to 50€ and we're talking, I would not have bought it if not for the 60% offer...
All in all: A nice game with potential, doesn't deserve 75% of the negative reviews on here... (It isn't a superb game, but it isn't that bad either)",推荐,,3 people found this review helpful 0
RicBPS.TTV,44.8 hrs on record,"Posted: August 23
É um jogo muito bom... é divertido e viciante... mas entendam que tem bugs e drops de frame na cidade... mas eh Ubi né então não da pra esperar muito... não vale o valor total mas nessa promoção vale fácil... joguei o beta e estava só esperando vir pra steam... recomendo dmaaaaais se pegar na promo e é isso ^^",推荐,485 products in account,"39 people found this review helpful
22 people found this review funny 5"
Shelter,8.7 hrs on record,"Posted: August 26
称霸海洋？首先你得学会微操驾船


此前多次跳票的《碧海黑帆》终于在Steam平台发售了，千呼万唤始出来也莫过于此了，这款游戏此前早在2.16时已经在育碧自家平台上架，如果真正感兴趣的玩家想必也已经“抢鲜体验了”，但这次对Steam平台玩家来说却像一次迟来的补票。


首先，这款并非是单机游戏而是不折不扣的一款网游，这就意味着玩家是无法一次性体验到游戏内的终局内容的，因为网游的特性之一就是不断更新，这就导致玩家并不能拿单机的规则去要求这款游戏，所以作为玩家的我们只能是选择从某一个赛季内去体验这款游戏的部分内容。
截止到目前游戏内已经到了第三赛季，虽然对steam平台的玩家来说肯定是错过了很多的东西，但有得必有失，截至目前游戏的整体玩法和流程体验已经比较流畅和完整。


一进入游戏玩家就可以明显感觉到育碧的“秀肌肉”行为，我们在游戏序章驾驶的是一个很后期的帆船，大小、火炮基本都已经拉满，虽然是限时体验卡但从此我们也可以一窥这款游戏的部分玩法，那就是朴实无华的拿火炮互打，以及在一望无际的大海上驾驶帆船。


其中船与船之间拿火炮互打即便是放在这款大作中其实也很难做出什么太花式的玩法，在游戏内船炮基本有直射和抛射两种模式，但无论是哪种射击方式玩家都需要一定的预判，我们并不能射击敌方帆船当前的位置（除非敌方体积够大行动缓慢）在多数时候，我们要朝着敌方的前进方向提前预先射击，如此才能击中敌人。
游戏内的敌人并不是给我们站着打的靶子，而是正在移动靶子，如果玩家只是不加预判的射击在这款游戏内是很难命中敌人的，再者，在海面上还存在着风浪、风向和昼夜变化等因素，把这款游戏的战斗部分当成FPS游戏模式显然是不行的。


另一方面，我个人认为比起射击、战斗内容，在这种海战类型的游戏中驾驶好自己的帆船远比击中敌人更重要。前面提到这款游戏内需要考虑天气、海浪等多种因素，在各种条件的影响下驾驶也尤为困难。
和在地面上驾驶汽车完全不同，这款游戏内的开船基本存在非常大的惯性，一旦帆船顺利行驶，那么便不能轻易的停下来。如果我们到目标跟前选择拉帆停止行驶，那么等待你的必定是对帆船的撞击破坏，正确的做法应该是提前非常长的一段距离就进行“刹车”，只有这样才能刚刚好的停下帆船，而不至于遭到破坏。
在海战中，只有我们的驾驶技术够好才能有效的规避敌人进攻，否则在遭遇多个敌方船只后我们很容易陷入包围而撞击到敌方船只，只需要几次我们就会因为撞击船毁人亡了。


其实对比其同类型的海战游戏外，我认为育碧的这款海战游戏最大的特点即是更强的画面表现力，虽然不至于将本作称之为完全拟真的海战游戏，但不得不说这款这款游戏的许多设定确实有效结合了现实，这就导致这款游戏的教程部分虽然少也很非常容易掌握，但游戏的真正核心玩法却需要一个漫长的精通过程。",推荐,,4 people found this review helpful 0
AngryT0aster,11.9 hrs on record,"Posted: August 25
I definitely recommend this game. As someone like me who just wants to get high and do pirate sh*t and not worry about screaming children shouting racial slurs like Sea Of Thieves this game hits the spot. Just keep pvp off and have a fun time sailing around blasting stuff.",推荐,475 products in account,"7 people found this review helpful
2 people found this review funny 1"
Cmyd,3.7 hrs on record,"Posted: August 26
For sure not worth the full price, the sea looks amazing, I enjoy sailing across the sea and that's about all the good I can say, Black Flag > Skull and bones.",推荐,,2 people found this review helpful 0
"D£x """"..""""",0.2 hrs on record,"Posted: August 23
'''..'''",推荐,"1,941 products in account","12 people found this review helpful
3 people found this review funny 0"
